,home_team,away_team,home_score,away_score,date,home_point,away_point,Division
269,Arizona Coyotes,Anaheim Ducks,4,3,2021-02-23 02:08:03,2,0,Honda West
273,Columbus Blue Jackets,Chicago Blackhawks,5,6,2021-02-24 00:07:37,1,2,Discover Central
264,New Jersey Devils,Buffalo Sabres,1,4,2021-02-24 00:08:03,0,2,MassMutual East
275,Ottawa Senators,Montréal Canadiens,5,4,2021-02-24 00:08:05,2,1,Scotia North
271,Washington Capitals,Pittsburgh Penguins,2,3,2021-02-24 00:09:57,1,2,MassMutual East
274,Detroit Red Wings,Nashville Predators,0,2,2021-02-24 00:37:49,0,2,Discover Central
276,Vancouver Canucks,Edmonton Oilers,3,4,2021-02-24 03:08:25,0,2,Scotia North
272,Florida Panthers,Dallas Stars,0,3,2021-02-24 22:08:32,0,2,Discover Central
265,Tampa Bay Lightning,Carolina Hurricanes,3,0,2021-02-24 22:09:04,2,0,Discover Central
277,Philadelphia Flyers,New York Rangers,4,3,2021-02-25 00:10:32,2,0,MassMutual East
279,Toronto Maple Leafs,Calgary Flames,2,1,2021-02-25 00:12:03,2,1,Scotia North
165,Colorado Avalanche,Minnesota Wild,2,6,2021-02-25 02:07:54,0,2,Honda West
280,Arizona Coyotes,Anaheim Ducks,4,3,2021-02-25 02:08:03,2,1,Honda West
278,St. Louis Blues,Los Angeles Kings,1,2,2021-02-25 02:40:18,0,2,Honda West
281,New York Islanders,Boston Bruins,7,2,2021-02-26 00:06:48,2,0,MassMutual East
283,Tampa Bay Lightning,Carolina Hurricanes,3,1,2021-02-26 00:07:51,2,0,Discover Central
282,Washington Capitals,Pittsburgh Penguins,5,2,2021-02-26 00:08:05,2,0,MassMutual East
287,Ottawa Senators,Calgary Flames,6,1,2021-02-26 00:08:10,2,0,Scotia North
285,Columbus Blue Jackets,Chicago Blackhawks,0,2,2021-02-26 00:08:43,0,2,Discover Central
284,Florida Panthers,Dallas Stars,3,2,2021-02-26 00:08:50,2,0,Discover Central
